sale_price,annual_revenue,annual_profit,multiple_achieved,platform,niche_category,fulfillment_model,traffic_channel,was_seasonal,growth_rate_yoy_pct,customer_retention_pct,gross_margin_pct,recurring_revenue_pct,sold_date,source,is_verified,data_quality_score,notes
180000,60000,20000,3,Shopify,Pet supplies,merchant_fulfilled,organic,FALSE,12,65,45,5,2026-06-15,empire_flippers,TRUE,95,Verified broker data
92000,40000,15000,2.3,Etsy,Handmade jewelry,merchant_fulfilled,etsy,FALSE,8,70,50,0,2026-06-10,flippa,TRUE,85,Etsy seller with reviews
140000,50000,18000,2.8,WooCommerce,Fitness apparel,merchant_fulfilled,paid_ads,FALSE,15,55,55,8,2026-05-20,flippa,TRUE,80,Self-reported but verified
75000,35000,10000,2.1,Shopify,Dropshipping,merchant_fulfilled,paid_ads,FALSE,5,45,35,0,2026-04-05,bizbuysell,FALSE,55,Ask price as fallback
250000,80000,28000,3.1,Amazon,FBA electronics,FBA,organic,FALSE,20,60,40,2,2026-03-18,empire_flippers,TRUE,90,Amazon FBA seller
165000,55000,22000,3,Shopify,Home decor,merchant_fulfilled,organic,FALSE,10,60,45,3,2026-06-12,acquire_com,TRUE,92,Strong organic reach
120000,45000,16000,2.7,WooCommerce,Kitchen gadgets,merchant_fulfilled,email,FALSE,7,75,50,10,2026-06-08,flippa,TRUE,88,High repeat customers
98000,42000,14000,2.3,Etsy,Vintage collectibles,merchant_fulfilled,etsy,FALSE,3,80,55,0,2026-05-25,flippa,FALSE,70,Self-reported Etsy
210000,70000,24000,3,Shopify,Beauty supplements,merchant_fulfilled,paid_ads,FALSE,18,62,48,12,2026-06-20,empire_flippers,TRUE,93,Recurring revenue model
155000,60000,20000,2.6,Amazon,FBA sports gear,FBA,organic,FALSE,14,58,42,1,2026-06-02,acquire_com,TRUE,91,Popular sports niche
88000,38000,12000,2.3,Shopify,Indoor plants,merchant_fulfilled,social,FALSE,25,50,40,0,2026-05-15,flippa,TRUE,75,Strong social presence
175000,65000,23000,2.7,WooCommerce,Outdoor adventure gear,merchant_fulfilled,organic,TRUE,8,55,50,2,2026-06-05,empire_flippers,TRUE,90,Seasonal business
125000,50000,17000,2.5,Shopify,Sustainable fashion,merchant_fulfilled,mixed,FALSE,16,65,55,0,2026-06-18,flippa,TRUE,82,Multiple sales channels
225000,75000,26000,3,Amazon,FBA home office,FBA,organic,FALSE,12,60,45,3,2026-06-12,empire_flippers,TRUE,92,Post-pandemic demand
105000,44000,15000,2.4,Etsy,Personalized gifts,merchant_fulfilled,etsy,FALSE,6,68,52,5,2026-05-20,flippa,FALSE,75,Personalization premium
