listing_price,annual_revenue,annual_profit,multiple_achieved,platform,niche_category,fulfillment_model,traffic_channel,listed_date,sold_date,source_marketplace,listing_status,data_completeness_score,notes
438072,860820,159300,0.51,Amazon FBA / Shopify,gaming & hobbies,FBA,organic,2026-07-01,NULL,empire_flippers,for_sale,85,Amazon FBA + direct. -42% profit YoY but established since 2014
134784,416676,70320,0.32,Shopify,automotive,dropshipping,paid_ads,2026-07-01,NULL,empire_flippers,for_sale,80,Dropshipping model. Strong 270% revenue growth in last 6 months
23000000,20480616,5382492,1.12,Amazon FBA,health & fitness,FBA,organic,2026-06-01,NULL,empire_flippers,for_sale,95,Large established brand. Strong recurring revenue profile
17000000,19399068,4108596,0.88,Shopify,pet care,merchant_fulfilled,direct_sales,2026-06-01,NULL,empire_flippers,for_sale,92,DTC pet wellness. 31% revenue growth YoY
10000000,33197100,1426224,0.30,Shopify,beauty & supplements,merchant_fulfilled,email_marketing,2026-06-01,NULL,empire_flippers,for_sale,88,Men's health DTC. High revenue but thin margins
6900000,7045524,1758468,0.98,Amazon FBA,beauty & health,FBA,organic,2026-05-15,NULL,empire_flippers,for_sale,90,Focused Amazon FBA portfolio
4853418,6066108,1493364,0.80,Amazon FBA / Shopify,home,FBA,organic,2026-05-01,NULL,empire_flippers,for_sale,88,Multi-channel. Founded 2019
2877244,3824880,908604,0.75,Shopify,lifestyle & fitness,merchant_fulfilled,email_marketing,2026-04-15,NULL,empire_flippers,for_sale,85,Newer brand (Aug 2023)
2193854,7161060,1012548,0.31,Amazon FBA,home,FBA,organic,2026-04-01,NULL,empire_flippers,for_sale,88,Strong 62% revenue growth
2129136,1902612,851652,1.12,Shopify,hobbies & outdoors,merchant_fulfilled,email_marketing,2026-03-20,NULL,empire_flippers,for_sale,82,Niche camping brand
2078404,1215144,656340,1.71,Shopify,health & wellness,merchant_fulfilled,organic,2026-03-15,NULL,empire_flippers,for_sale,75,Educational digital + ecom hybrid
1978520,3844452,698304,0.51,Shopify,home,dropshipping,paid_ads,2026-03-01,NULL,empire_flippers,for_sale,80,Dropshipping + Shopify. 96% traffic growth
1559478,4207008,584808,0.37,Amazon FBA,apparel,FBA,organic,2026-02-20,NULL,empire_flippers,for_sale,85,Branded apparel. Founded 2019
1391690,6680544,596436,0.21,Amazon FBA / Shopify,outdoors,FBA,organic,2026-02-01,NULL,empire_flippers,for_sale,88,Established 2015. Multi-channel
1260000,2098200,433284,0.60,Shopify,education & medical,merchant_fulfilled,organic,2026-01-20,NULL,empire_flippers,for_sale,82,Professional training platform
1173825,1402896,380712,0.84,Amazon FBA,lifestyle & gifts,FBA,organic,2026-01-15,NULL,empire_flippers,for_sale,85,Premium stationery. Founded 2018
1068160,1647804,356052,0.65,Amazon FBA,supplements,FBA,organic,2026-01-10,NULL,empire_flippers,for_sale,85,Founded 2022. Multi-channel
967266,1778436,527604,0.54,Amazon FBM,automotive,FBA,organic,2026-01-01,NULL,empire_flippers,for_sale,80,Established 2023
886872,1304976,443436,0.68,Shopify,sports & entertainment,merchant_fulfilled,organic,2025-12-20,NULL,empire_flippers,for_sale,75,B2B2C model
868265,583548,297696,1.49,Amazon FBM,supplements,merchant_fulfilled,organic,2025-12-15,NULL,empire_flippers,for_sale,78,Launched 2024. High multiple
748001,1025568,280500,0.73,Amazon FBA,personal care,FBA,organic,2025-12-10,NULL,empire_flippers,for_sale,80,Hydrogen water bottles
695398,1212888,297912,0.57,Amazon FBA,electronics,FBA,organic,2025-12-01,NULL,empire_flippers,for_sale,82,Tech + SaaS hybrid
580104,1142508,267744,0.51,Amazon FBA,home & lifestyle,FBA,organic,2025-11-20,NULL,empire_flippers,for_sale,80,Established 2023
491394,471312,210600,1.04,Amazon FBA,gaming,FBA,organic,2025-11-15,NULL,empire_flippers,for_sale,78,Gaming lifestyle brand
453186,1771224,181272,0.26,Shopify,sports & hobbies,dropshipping,paid_ads,2025-11-10,NULL,empire_flippers,for_sale,75,Dropshipping to 3PL transition
408325,834720,306240,0.49,Shopify,health & fitness,merchant_fulfilled,organic,2025-11-01,NULL,empire_flippers,for_sale,72,Grounding mats. Launched 2025
374243,590268,179640,0.63,Shopify,supplements,merchant_fulfilled,email_marketing,2025-10-25,NULL,empire_flippers,for_sale,75,DTC wellness. Launched 2025
364718,834168,145884,0.44,Amazon FBA,home,FBA,organic,2025-10-20,NULL,empire_flippers,for_sale,78,Pest control niche
359972,812868,107988,0.44,Amazon FBM,home & equipment,FBA,organic,2025-10-15,NULL,empire_flippers,for_sale,75,Multi-channel. Founded 2014
352273,1581096,234852,0.22,Shopify,apparel & beauty,dropshipping,paid_ads,2025-10-10,NULL,empire_flippers,for_sale,72,Dropshipping with viral potential
339179,138930,110016,2.44,Amazon FBA,home & hobbies,FBA,organic,2025-10-01,NULL,empire_flippers,for_sale,65,Very high multiple. Newly listed
306550,1441152,147144,0.21,Amazon FBA,supplements,merchant_fulfilled,email_marketing,2025-09-20,NULL,empire_flippers,for_sale,75,FBA + subscription hybrid
221803,793356,88716,0.28,Amazon FBA,health & fitness,FBA,organic,2025-09-15,NULL,empire_flippers,for_sale,75,Transitioned from dropshipping
211527,289476,74652,0.73,Amazon FBA,pet care,FBA,organic,2025-09-10,NULL,empire_flippers,for_sale,72,Pet supplement brand. Founded 2019
204904,249600,74508,0.82,Amazon FBA,office supplies,FBA,organic,2025-09-01,NULL,empire_flippers,for_sale,75,France-based. Founded 2006
188139,648468,205248,0.29,Shopify,automotive,direct_sales,paid_ads,2025-08-25,NULL,empire_flippers,for_sale,70,Motorcycle apparel. Extreme growth
175648,258816,87828,0.68,Shopify,hobbies & travel,subscription_box,organic,2025-08-20,NULL,empire_flippers,for_sale,72,Subscription box model
163561,798588,75492,0.20,Amazon FBA,kitchenware,FBA,organic,2025-08-15,NULL,empire_flippers,for_sale,70,Placemat sets
151043,335392,69708,0.45,Amazon FBA,home & personal care,FBA,organic,2025-08-10,NULL,empire_flippers,for_sale,70,Beauty niche
150906,572232,100608,0.26,Shopify,travel & apparel,merchant_fulfilled,organic,2025-08-01,NULL,empire_flippers,for_sale,68,Travel accessories. Launched late 2024
143721,139080,57492,1.03,Amazon FBA,automotive,FBA,organic,2025-07-25,NULL,empire_flippers,for_sale,70,Motorcycle parts niche
139901,349404,83940,0.40,Shopify,art & hobbies,digital_product,organic,2025-07-20,NULL,empire_flippers,for_sale,65,Digital product hybrid
133386,278796,57168,0.48,Shopify,personal care,dropshipping,paid_ads,2025-07-15,NULL,empire_flippers,for_sale,70,Men's grooming. Launched 2023
128285,207072,53088,0.62,Amazon FBA,supplements,merchant_fulfilled,organic,2025-07-10,NULL,empire_flippers,for_sale,70,Supplement + B2B hybrid
114981,142116,81168,0.81,BigCommerce,supplements,merchant_fulfilled,organic,2025-07-01,NULL,empire_flippers,for_sale,68,Male enhancement. Founded 2022
101583,178776,43536,0.57,Amazon FBA,home,FBA,organic,2025-06-25,NULL,empire_flippers,for_sale,68,Homewares. Founded 2014
95596,61776,35844,1.55,Shopify,pet care,merchant_fulfilled,organic,2025-06-20,NULL,empire_flippers,for_sale,62,Rabbit accessories
91557,175728,35436,0.52,Amazon FBA,office supplies,FBA,organic,2025-06-15,NULL,empire_flippers,for_sale,65,Founded Dec 2022
87598,314448,35040,0.28,Amazon FBA,travel,FBA,organic,2025-06-10,NULL,empire_flippers,for_sale,68,Established 2017
83580,198012,29496,0.42,Amazon FBA,home,FBA,organic,2025-06-01,NULL,empire_flippers,for_sale,65,Solar lighting niche
72000,351504,47880,0.20,Amazon FBA,home & bath,FBA,organic,2025-05-20,NULL,empire_flippers,for_sale,62,Personal care tools. Launched 2024
67208,411432,36660,0.16,Amazon FBA,hobbies,FBA,organic,2025-05-15,NULL,empire_flippers,for_sale,65,Basketball sector
62636,218124,27840,0.29,Amazon FBA,home & hobbies,FBA,organic,2025-05-10,NULL,empire_flippers,for_sale,62,Founded 2021
59200,143028,29580,0.41,Amazon FBA,gaming,FBA,organic,2025-04-25,NULL,empire_flippers,for_sale,60,Established 2020
54000,98640,18180,0.55,Shopify,hobbies,merchant_fulfilled,organic,2025-04-20,NULL,empire_flippers,for_sale,58,Art niche. Newer listing
